date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
18/04/2024,9527.4464,729175.296,317.5788,107.8827
19/04/2024,5858.008,854035.4228,354.2646,116.9136
20/04/2024,6803.25,1596637.709,622.0354,112.9506
21/04/2024,2507.0188,1519230.17,691.1132,125.604
22/04/2024,2937.88,985290.0825,437.2971,101.7005
23/04/2024,3863.5324,859656.2763,410.814,129.23
24/04/2024,6377.35,678373.25,227.2788,104.8446
25/04/2024,2700.1616,863429.0542,295.002,113.859
26/04/2024,5155.92,1021118.605,205.7853,117.645
27/04/2024,4468.2456,1920023.792,255.6135,112.9348
28/04/2024,4757.3328,1923157.299,247.2408,108.1092
29/04/2024,4518.1824,1128651.605,166.48,99.9024
30/04/2024,4263.98,896385.245,201.8655,113.252
01/05/2024,3642.94,1026466.755,223.4145,105.6037
02/05/2024,5393.0084,921042.2129,347.4992,132.19
03/05/2024,4326.1512,1077265.061,335.4816,136.29
04/05/2024,4368.3904,1828719.194,349.5645,117.175
05/05/2024,6545.76,1539830.026,486.54,136.8528
06/05/2024,12131.28,2774922.322,763.1088,127.7554
07/05/2024,4574.4848,1009400.887,419.4562,131.425
08/05/2024,3696,961099.6604,463.2852,115.362
09/05/2024,5097.62,700308.0118,497.8952,116.8992
10/05/2024,6938.3088,778069.9983,543.535,99.753
11/05/2024,6338.6688,1216499.054,494.2755,139.4
12/05/2024,4413.2536,1148958.771,647.151,110.832
13/05/2024,4925.6088,788190.5576,297.4146,103.1656
14/05/2024,2644.93,772819.303,189.608,102.7706
15/05/2024,5896.1116,803671.6184,201.3236,111.7828
16/05/2024,4686.5,764597.0525,155.3104,124.0416
17/05/2024,6268.95,762884.1315,124.0941,127.1011
18/05/2024,7078.448,1596777.881,188.048,117.8584
19/05/2024,5520.12,1309040.187,262.2235,129.8206
20/05/2024,4141.84,925810.0914,116.66,132.975
21/05/2024,4640.9175,760317.423,110.9486,115.6628
22/05/2024,2564.32,849182.8952,96.8806,111.166
23/05/2024,3353.25552,916131.2414,98.12,103.361
24/05/2024,6086.556,1053959.344,98.8269,120.648
25/05/2024,5706.9656,1549065.138,116.8224,115.5711
26/05/2024,5105.7384,1915053.371,162.449,125.7062
27/05/2024,6756.6588,2916761.288,201.2626,125.5184
28/05/2024,3424.05,1849691.951,115.8,95.4521
29/05/2024,5034.9972,1483116.142,96.255,112.9205
30/05/2024,1936,1152148.164,91.695,115.8768
31/05/2024,4812.75,1188644.29,70.8972,104.5029
01/06/2024,4910.57,1977967.795,93.3328,119.168
02/06/2024,1928.9284,1958478.312,138.6989,105.03
03/06/2024,4801,1470257.019,9.0096,67.988
04/06/2024,5810.88,1487057.148,0,101.6718
05/06/2024,4705.65,816488.2639,0,116.2169
06/06/2024,5247.6648,827522.1148,0,119.615
07/06/2024,2644.1576,785013.8936,0,110.6668
08/06/2024,5503.3562,1617703.806,0,115.1886
09/06/2024,7172.352,1601387.85,0,129.005
10/06/2024,5738.4852,1101516.183,0,118.3584
11/06/2024,3090.72,889182.9888,0,119.39
12/06/2024,3539.53,786047.9922,0,118.86
13/06/2024,1609.75,765832.6776,0,110.0129
14/06/2024,2880.22,812273.8516,0,92.024
15/06/2024,1782.188,1624539.893,0,114.4403
16/06/2024,6310.0224,1233594.804,0,102.6681
17/06/2024,3176.04,1019002.273,0,92.756
18/06/2024,1509.5872,634783.1409,0,93.8326
19/06/2024,1959.02,986945.8152,0,107.0472
20/06/2024,2046.4752,865977.138,0,93.9582
21/06/2024,3857.478,834227.4528,0,98.9912
22/06/2024,3314.1696,1603854.231,0,100.1176
23/06/2024,2283.9872,1478981.571,0,107.181
24/06/2024,5746.56,947906.6636,0,93.633
25/06/2024,4060.38,802404.9622,0,93.8352
26/06/2024,3051.45,752884.96,0,0
27/06/2024,2081.4024,729587.8664,0,0
28/06/2024,2729.394,1027822.364,0,0
29/06/2024,3890.9332,1656731.404,0,0
30/06/2024,8780.31,1825123.204,0,0
01/07/2024,4339.6245,1098980.956,0,0
02/07/2024,8647.08,939389.0399,0,0
03/07/2024,4211.76,972156.905,0,0
04/07/2024,5393.636,965276.1096,0,0
05/07/2024,2576.54,924489.8722,0,0
06/07/2024,4655.0016,1685028.033,0,0
07/07/2024,5891.4416,2420267.328,0,0
08/07/2024,5040.7084,1138680.125,0,0
09/07/2024,4899,977584.6216,0,0
10/07/2024,5047.12,929454.0486,0,0
11/07/2024,8333,892096.3624,0,0
12/07/2024,4717.76,978125.6448,0,0
13/07/2024,7683.4156,2273557.155,0,0
14/07/2024,6026.8,2138336.523,0,0
15/07/2024,4472.946,1443133.659,0,0
16/07/2024,5941.2068,1239239.099,0,0
17/07/2024,3595.52,1077347.301,0,0
18/07/2024,4754.1,986803.938,0,0
19/07/2024,3976.5,824990.6603,0,0
20/07/2024,3531.16,1906212.341,0,0
21/07/2024,3467.52,1749007.056,0,0
22/07/2024,7239.3024,1436678.707,0,0
23/07/2024,2372.67,1331642.018,0,0
24/07/2024,2418.22,1084363.738,0,0
25/07/2024,2902.2872,946134.1212,0,0
26/07/2024,1977.94,1078349.689,0,0
27/07/2024,4110.37,1666953.586,0,0
28/07/2024,5685.44,1855020.284,0,0
29/07/2024,6262.44,1237193.004,0,0
30/07/2024,1319.901,1012002.492,0,0
31/07/2024,5506.6,811698.796,0,0
01/08/2024,4434.584,895337.8059,0,0
02/08/2024,1904.848,1039806.382,0,0
03/08/2024,5607.3696,1999947.145,0,0
04/08/2024,5600.7,1940747.078,0,0
05/08/2024,3967.0848,1340992.309,0,0
06/08/2024,2162.94,1320892.229,0,0
07/08/2024,2500.8,1067333.706,0,0
08/08/2024,3501.216,1314566.252,0,0
09/08/2024,4885.9782,1036653.026,0,0
10/08/2024,1544.4,2010203.813,0,0
11/08/2024,3130.08,1652410.328,0,0
12/08/2024,5003.496,1377822.478,0,0
13/08/2024,1186,1088335.939,0,0
14/08/2024,4522.1512,1123207.506,0,0
15/08/2024,8397.7992,1303150.367,0,0
16/08/2024,1735.605,1287965.26,0,0
17/08/2024,7689.5352,2472038.367,0,0
18/08/2024,7437.605,2355069.516,0,0
19/08/2024,5402.1912,1873575.177,0,0
20/08/2024,6791.0072,1929911.272,0,0
21/08/2024,5563.9104,1657792.305,0,0
22/08/2024,4858.5,1654374.766,0,0
23/08/2024,2987.04,1839011.772,0,0
24/08/2024,7147.53,3557333.27,0,0
25/08/2024,10051.94,3248117.219,0,0
26/08/2024,12825.0696,4904873.603,0,0
27/08/2024,4800.5,2502234.801,0,0
28/08/2024,7774.64,2432913.623,0,0
29/08/2024,6434.5424,1086566.354,0,0
30/08/2024,3940.65,1324828.367,0,0
31/08/2024,8501.4784,2139559.706,0,0
01/09/2024,4886.112,2369022.075,0,0
02/09/2024,4428.3888,2188875.386,0,0
03/09/2024,8658.016,1673224.651,0,0
04/09/2024,4798.9824,860947.7018,0,0
05/09/2024,4292.5524,1099394.654,0,0
06/09/2024,2671.59,1194447.828,0,0
07/09/2024,12389.8016,2348665.322,0,0
08/09/2024,6059.5084,2681005.969,0,0
09/09/2024,4321.44,1372778.512,0,0
10/09/2024,5786.6,1352464.826,0,0
11/09/2024,3771.68,1105261.774,0,0
12/09/2024,4917,1060906.824,0,0
13/09/2024,1072.5,1453718.592,0,0
14/09/2024,7724.34,2229490.182,0,0
15/09/2024,5458.816,2607339.934,0,0
16/09/2024,3008.25,1493232.467,0,0
17/09/2024,4308.02,1099534.724,0,0
18/09/2024,1720.7076,1282534.764,0,0
19/09/2024,6176.25,1363985.405,0,0
20/09/2024,5322.6856,1529234.928,0,0
21/09/2024,8505.408,3215558.282,0,0
22/09/2024,10700.76,3308690.423,0,0
23/09/2024,5648.8,2288211.352,0,0
24/09/2024,7671,1907141.744,0,0
25/09/2024,9028.608,1466520.253,0,0
26/09/2024,4448.1448,1608612.507,0,0
27/09/2024,4624.8,1811523.526,0,0
28/09/2024,7615.602,2979419.027,0,0
29/09/2024,13606.82,3716032.457,0,0
30/09/2024,5195.11,2728638.715,0,0
01/10/2024,8763.3,2303795.771,0,0
02/10/2024,5114.07,1307045.264,0,0
03/10/2024,4108.9408,1396172.773,0,0
04/10/2024,3780.13,1514103.067,0,0
05/10/2024,4708.6256,3100235.664,0,0
06/10/2024,5572.8288,3171537.299,0,0
07/10/2024,8396.66,2247253.293,0,0
08/10/2024,1684.32,1362947.769,0,0
